1;Action
2;Amour
3;Arts-martiaux
4;Aventure
5;Biopic
6;Combat
7;Comédie
8;Comédie-dramatique
9;Dramatique
10;Drame
11;Drive
12;Ecologie
13;Epouvante-Horreur
14;Erotique
15;Fantastique
16;Fantasy
17;Film-à-énigme
18;Film-biographique
19;Film-d'amour
20;Film-policier
21;Humour-noir
22;Musique
23;Policier
24;Romance
25;Science-fiction
26;Thriller
